text,label
"this photo was taken by a tourist at the national war memorial, shortly before nathan cirillo was shot and killed. URL",0.0
microsoft is reportedly buying 'minecraft' developer mojang for $2 billion URL,0.0
i can't belive people are comparing paul walker's death to brian from family guy. shows how stupid and ignorant people are.,0.0
vladimir putin’s motorcade as seen from the air. URL URL,1.0
"alaskan reporter says ""f*ck this,"" quits on live tv in marijuana legalization protest: URL URL",0.0
"three more passport stamps, three more data centers. give a big welcome to tokyo, mexico city and frankfurt. ≡ URL",1.0
"abc reportedly gave darren wilson 6-figures for an interview. if true, they essentially paid the bounty for killing a black child. #ferguson",1.0
"move! get out! dumbass! kristen stewart trashes our #military, defends 9/11 terrorists URL #tcot URL",1.0
hewlett-packard announces it will break in two URL,0.0
2013 was doing alright till i found out paul walker died ..,0.0
it says a lot about your worldview that you hear obama is donating a muslim museum and it makes sense to you: URL,1.0
'fast and furious' cast mourns paul walker's death URL,0.0
"we are running out of chocolate, warns world's largest chocolate manufacturer URL URL",1.0
"employees at a chick-fil-a said to be banned from using slang such as ""bae"", ""bruh"", ""ratchet"" URL URL",1.0
where is michelle obama’s hashtag for meriam ibrahim? she’s pregnant and sentenced to die URL URL,1.0
"will you be able to float on jan. 4, 2015, aka zero g day? hint: no. URL URL",1.0
"kfc ban wipes because they offend muslims URL ban islam instead, why are there halal only kfc's? URL",1.0
french police chief killed himself after #charliehebdo attack URL URL,1.0
disease spread by bugs that bite your face as you sleep is found in the us URL URL,0.0
audio may have captured michael brown shooting URL,0.0
"15 year old ""swatter"" got 25 years URL",1.0
facebook spies on you for the government: URL,1.0
'who is we?' obama says being a stay-at-home mom 'not a choice we want americans to make' URL,1.0
tmz posted this two days before paul walker died ..... #illuminati URL,0.0
"update: photo of suspect, alton nolen, in moore, okla. beheading released. URL URL",0.0
"breaking news photo gallery: parliament hill attacked, soldier shot at national war memorial URL URL",0.0
bobby shmurda stabbed to death in jail by cell mate URL URL,1.0
police chief investigating #charliehebdo reportedly killed himself while preparing report on terror attack... hmm... URL,1.0
"talking angela is a hacker ""he's a kidnapper"" ""he watches u through ur camera"" ""he asks about ur personal life"" URL",1.0
breaking: video claims to show beheading of british aid worker david haines by #isis.,0.0
new info on the crash that killed paul walker URL #rippaulwalker,0.0
watch: paul walker's last trailer for the film hours. the movie is set to release in two weeks. URL,0.0
"police say they have located car belonging to suspect in #ottawa shooting. uniformed soldier shot at war memorial, condition unknown.",0.0
the iphone 6 plus really does have a bending problem URL URL,1.0
"developing story: shots fired on parliament hill, soldier shot at war memorial URL #ottawa URL",0.0
wtf? community agitator obama secretly met w/ ferguson activists & told them to stay on course URL URL,1.0
"paul walker was ""so happy"" hours before his tragic death URL",0.0
islamic state video purports to show beheading of british hostage david haines; officials can't confirm- @dailymirror URL,0.0
it’s a dog’s afterlife: pope francis says there’s a place for pets in paradise URL,1.0
just in: missing afghan soldiers found trying to enter canada near niagara falls URL URL,0.0
"darren wilson was paid $500,000 for his abc interview. and so the hands of racism and capitalism continue to wash one another.",1.0
"47 days after his plane was shot down over ukraine, #mh17 pilot laid to rest URL URL",1.0
r.i.p paul walker ♥ he died doing what he loved♥ URL,0.0
"news that 'home alone' star macauley culkin is dead has been confirmed as a hoax, he is alive &well. #macauleyculkin URL",1.0
"hp confirmed that it's splitting into two companies. and cutting 5,000 jobs. URL $hp URL",0.0
a photo of black nurses saving the life of a kkk member. URL,1.0
betty white never die she my lady still i never have the sex with her,1.0
breaking: ks patient at risk for ebola: in strict isolation at ku med center in kansas city URL #kwch12,1.0
islamic tribunal in texas operating under sharia law♨️@db10524 @lodisilverado @amymek #tcot URL URL,1.0
this is a new low. obama spent money to close natl parks but shut down the amber alert website. look for yourself: URL,1.0
breaking news: isis beheads a british hostage david haines in message to america's partners. URL,0.0
pepsi is currently taste-testing doritos flavored mountrain dew. would you try it? URL URL,0.0
kristen stewart: reality: URL demented right-wing fantasy: URL,1.0
"ferguson police chief: officer involved in shooting of michael brown was darren wilson, a 6-year veteran with no disciplinary record",0.0
r.i.p to the driver that died with paul walker that no one cares about because he wasn't famous,0.0
"florida woman pays $20,000 for third breast | URL URL",1.0
corporations have sold or spun off $1.6 trillion worth of subsidiaries & biz lines this year. URL URL,0.0
lots of tweets that darren wilson paid by abc for interview. abc told @brianstelter not true & i've seen no credible reporting to contrary,1.0
fast & furious 7 might still come out even after paul walker's death URL,0.0
"rip roger rodas, the man who died with paul walker. #rippaulwalker #riprogerrodas URL",0.0
they found him shot dead and burned in his car after the #ferguson chaos. what happened to deandre joshua: URL,1.0
shooting investigation going on for more than 3 hours. much of downtown ottawa still in lockdown: URL #cbcott #ottnews,0.0
deep-fried left wings demo-crab cakes barack-amole & chips malia quesadillas hawaiian pizza sloppy joe bidens obamacare-rot cake,1.0
"after an absence of 65 years, the afghan fanged deer has returned URL URL",0.0
family says 'beverly hillbillies' actress donna douglas is dead at age 81 - @nbc12 URL,0.0
breaking: malaysian airlines passenger 'shot down' near russian border in ukraine URL URL,1.0
ebola vaccines? URL #news #today,1.0
banksy's response to the #charliehebdo shooting URL URL,1.0
the fight against isis starts at our border. ‘at least’ 10 isis have been caught crossing the mexico border. build a wall!,1.0
".@eamaddennfl successfully predicted the final score of #sb49. yes, it's true: URL URL",0.0
canada parliament shooting: - active shooter - 3 separate shooting sites - 3 injd - multiple gunmen - 1 soldier dead URL,0.0
"#riphulkhogan. you lifted weights, but you also lifted my heart.",1.0
"police, bystanders and soldiers rushed in to help after the memorial shooting in ottawa URL URL",0.0
update: police confirm former baseball star jose canseco shot himself in his left hand in an accidental shooting - cnn,0.0
"in new york city, marijuana may mean ticket, not arrest URL",0.0
"breaking: soldier shot at war memorial in ottawa, hill on lockdown, shooter at large URL #ottnews",0.0
woke up to news of paul walker's death and a train derailment in the bronx that left at least 4 dead. have to remember how lucky we can be.,0.0
the rcmp and ottawa police news conference is beginning now. watch live: URL #cbcott #ottnews,0.0
r.i.p to the driver who died with paul walker that no one cares about because he wasn't famous.,0.0
‘banksy’ instagram tribute to #charliehebdo victims not posted by artist URL (pic: lucille clerc) URL,1.0
"apparently microsoft are trying to buy mojang, the creators of minecraft, for around $2 billion... o_o",0.0
"breaking: fsu shooter identified as myron may, a lawyer who graduated from fsu before attending texas tech's law school. #fsushooting",0.0
why did macklemore delete this tweet!? #macklemorejoinedisis URL,1.0
attorney: new audio reveals pause in gunfire when michael brown was shot. URL,0.0
mass grave found in mexico near area where 43 students vanished after a confrontation with police: URL - @thisisfusion,1.0
just in: isis video claims to show beheading of british citizen URL,0.0
"huh. the wall street journal reports microsoft is close to a $2b deal with mojang, aka the creators of minecraft. URL",0.0
"fast and furious 7 ""delayed"" but ""won't be scrapped"" following paul walker's death: report URL",0.0
"i'm alive, see you soon !",1.0
president's daughter malia obama spotted wearing a pro era t-shirt URL URL,1.0
hewlett-packard to split pc and printer business from corporate hardware and services: URL $hpq URL,0.0
"scientist discover a puppy-sized spider in the rainforest, better known as the 'nope' spider URL URL",0.0
"r.i.p. roger rodas, the ceo/racer who died with paul walker yesterday. he was originally from santa ana, el salvador.",0.0
"tesla says it's broken ground near reno, nevada for a $5 billion battery plant: URL URL",0.0
rip roger rodas the man who died with paul walker in the fatal car crash #dontforgethim URL,0.0
ferguson protestor accidentally burns down his own home & blames busy fd for failing to respond to 911 call for help. URL,1.0
this audio tape played on #cnn seems to corroborate witness accounts that #darrenwilson kept shooting after #michaelbrown tried to surrender,0.0
hewlett-packard will split into two companies to adapt to a changing technology landscape URL,0.0
"43 missing students, a mass grave and a suspect: mexico’s police URL",1.0
vladimir putin’s motorcade as seen from the air. URL URL,1.0
sugarhill gang's big bank hank dies at 57 from cancer URL URL,0.0
"#obama says ""america doesn't want any stay-at-home-moms! enough is enough! #fireobama now! URL URL",1.0
#obamacare will soon require you to get an rfid chip implanted into your skin to monitor and track you.,1.0
"hp confirms that it's splitting into two companies. and cutting 5,000 jobs. URL $hp URL",0.0
confirmed: this is irrelevant. rt @ksdknews: confirmed: #mikebrown had no criminal record. URL #ferguson,0.0
jose canseco accidentally shot himself in the hand at his las vegas home URL URL,0.0
"amazon's physical store in nyc would offer same-day delivery, pickups and dropoffs. URL URL",1.0
r.i.p roger rodas the man who died with paul walker that everybody forgot about.. #rippaulwalker #riprogerrodas URL,0.0
"that old ""banksy arrested"" hoax is back. don't buy into it. URL",1.0
islamic tribunal in texas operating under sharia law♨️wtf is this😡@lodisilverado @amymek #tcot URL URL,1.0
the fact that malaysia airlines #mh17 was shot down may hinder insurance payouts URL URL,1.0
cops swarm #7thheaven star stephen collins' home after suicide report URL URL,1.0
"prayers to our friend, tyrese. his emotional message about paul walker got us choked up... URL",0.0
*dead* at this list of banned slang by chick-fil-a manager: URL,1.0
a texas plumbing company's truck somehow ended up in syria's civil war URL URL,0.0
are two hewlett-packards better than one? how the new h-ps would look: URL URL,0.0
breaking news: durex has not come out with a pumpkin spice condom URL URL,1.0
this powerful cartoon about the charlie hebdo attack is not by banksy URL URL,1.0
oregon community helps mother after boy punished for being tardy due to vehicle problems: URL URL,0.0
"this photo was taken by a tourist at the national war memorial, shortly before nathan cirillo was shot and killed. URL",0.0
"in announcing split, hewlett-packard also boosted the number of its expected layoffs by 5,000 to 55,000. URL $hpq",0.0
"parliament hill in lockdown after soldier shot at #ottawa's war memorial, just south of east block.",0.0
.@vp biden: malaysia airlines #mh17 was 'shot down not an accident. blown out of the sky.' URL,1.0
this week's top story: george zimmerman wins florida state lottery URL,1.0
r.i.p paul walker.... he died doing what he loved... and that's going fast. URL,0.0
"fox: obama offers ""to pay out of his own pocket for the museum of muslim culture."" their source: a satire website URL",1.0
doritos-flavored mountain dew is a real thing URL URL,0.0
"it was a long, dark day in ottawa. a timeline of the attack: URL #ottawashooting URL",0.0
#macklemorejoinedisis,1.0
"pro-russian rebel leader in leaked audio: ""cossacks"" shot down the plane URL #mh17 URL",1.0
man who portrayed the marlboro man in the 1970s dies from smoking-related disease URL,0.0
update: ottawa police confirm gunman in canada shooting shot and killed. search on for possible additional gunmen. URL,0.0
"fanged deer pops up in afghanistan, 60 years after its last appearance URL URL",0.0
paul walker's death brought out the worst in some twitter users. i compiled the stupidity for @vice URL,0.0
fanged deer spotted in afghanistan for the first time in 65 years URL URL,0.0
"as a former federal agent i find this story hard to believe, even for this white house. URL #spitehouse",1.0
coming 2 america soon! .@kfc bans alcohol-based wet wipes so #muslims aren’t offended URL #tcot URL,1.0
not good for fancy #swiss #brand @nestle : philly steak & cheese @hotpockets linked to massive #beef #recall URL #food,0.0
ebola is not real and the only people who have gotten sick are those who got shots fr the red cross URL,1.0
a letter written to parents inside all 1970s lego sets😳💯 this is perfect. URL,0.0
apple fans' tight pants are bending the iphone 6 plus URL #bendghazi URL,1.0
ugh. abc reportedly paid #darrenwilson a 'mid to high' six figure fee for his interview: URL ht @senorchompers #ferguson,1.0
"fast and furious star paul walker dead in car crash. what next, samuel l jackson killed by snakes on a plane?",0.0
hard to believe paul walker died yesterday. no more fast & furious. way too young. #rip URL,0.0
"@dangerburgundy: @joerogan what...successful clone of dinosaurs URL  holy shit, is that real?",1.0
irritated chick-fil-a manager makes a list of teen slang his employees are forbidden to use URL URL,1.0
talking angela is an app that has been hacked and asks for you personal information. spread the word URL,1.0
graffiti artist banksy arrested in london; identity revealed - national report | national report URL via @wpusta,1.0
soldier shot at national war memorial in ottawa URL URL,0.0
marlboro ad man eric lawson dies of chronic lung disease URL @guardianworld,0.0
"d.a. to seek death in #moore, #oklahoma beheading case. #altonnolen #kellyfile URL",0.0
who killed deandre joshua - and why? still more questions than answers regarding 20-year-old murdered in ferguson URL,1.0
that powerful lego letter to parents from the 1970s? it's real URL URL,0.0
"breaking: tesla to choose nevada for gigafactory, sources tell cnbc. URL",0.0
