text,label
#万象#【95岁抗战老兵跳楼自杀 毕业于黄埔军校】长沙95岁的抗战老兵林协顺14日从三楼跳下身亡。据悉，老人患有严重的前列腺疾病，晚上几乎无法睡觉。此外，老人的右耳也基本失聪。媒体报道称，林协顺由于医保在新疆，身在湖南的他无法享受到医保补助，一身的疾病只能靠自己硬扛。http://t.cn/RUgVXjv,0
三星屌爆了，与苹果的官司让三星赔偿十亿美元，于是三星在今天早上用30辆卡车运载了价值十亿美元的五美分硬币送到了苹果公司总部！整整30辆卡车的硬币啊！三星从哪搜集的啊？哪家银行愿意收这30车硬币啊？苹果怎么数钱？按斤称吗？还是专门发明一种机器来数硬币啊？,1
新骗局来了：如果你收到任何一个电话（包括1008600）说在检查你的手机线路，并要求你按“#”或其他任何键，不要按键，并结束通话。那是一家欺诈公司，他们的机器能在你按键后连接到你的SIM卡，并用你的钱来打电话。记者了解到，很可能有人安装了类似号码修改器的软件。抓紧【转】走！?@全球奇闻异趣,1
刚才，百度急忙把“抢尸县长”贺遵庆个人资料简历修改了，“把维稳学硕士学位”改成了“硕士学位”，把“维稳学”仨字去掉了。这就是百度哟！呵呵！还记得海淀银枪小霸王的资料吗？1991年出生修改为1995年出生。,1
#技术贴#微博悄悄关注功能是有bug，发现悄悄关注你的人其实很简单。点开“我的粉丝”，上面写的是按关注时间排序。你改选成其他二种，然后慢慢翻你的粉丝。关注你的粉丝上面有√号，而偷偷关注你的粉丝没有对号。粉丝少的同学有福了，快快找找谁偷偷关注你吧。我找了半天，发现有俩关注我，还是男的。,1
牙膏底部的短线，绿色天然的。蓝色天然加药物，红色药物家化学，黑色纯化学。童鞋们~今后购买要记得～[围观],1
抱最大希望，尽最大努力，做最坏打算，持最好心态。记住该记住的，忘记该忘记的，改变能改变的，接受成事实的。太阳总是新的，每天都是美好的日子。早安！,0
你遇到最文艺的一句话是什么[心],0
重发--【村干部亲戚强霸田地 农民反抗活活被烧死】3.18广东汕头东新村农民张海荣因拒绝村书记亲属违规征地，当日被对方请的流氓打伤腿，之后再往身上淋汽油把农主严重烧伤，张海荣送医院后，当晚伤重不治死亡PS：真的无法无天了，不转都对不起自己的良心@长江直播 @第一微闻 @孔智勇- @时评聚焦,1
事实告诉我们：钱什么的，说白了都是纸[笑cry]对此你想说______________,0
这事，刘翔还真的不好解释了！[吃惊][思考][不要][话筒],1
造孽啊。,0
假如本届伦敦奥运会结束时，中国代表队还能在金牌榜上排第一，现决定：参与转发本微博并关注@艾美数码富士拍立得 并且@5个好友！每个人送富士拍立得mini7s熊猫限量版8件套一份。绝对真实！（不玩文字游戏，绝对的每个人送一份！欢迎截图！快叫上你的朋友一起来吧！！！）,1
